:ID(Delay),cause,minutes
DLY00001,NAS,60
DLY00002,Maintenance,182
DLY00003,Weather,83
DLY00004,Carrier,36
DLY00005,NAS,69
DLY00006,NAS,16
DLY00007,Maintenance,219
DLY00008,Carrier,39
DLY00009,Carrier,55
DLY00010,NAS,22
DLY00011,Maintenance,124
DLY00012,NAS,19
DLY00013,Maintenance,228
DLY00014,Maintenance,219
DLY00015,Maintenance,191
DLY00016,NAS,33
DLY00017,NAS,35
DLY00018,Maintenance,93
DLY00019,NAS,28
DLY00020,NAS,75
DLY00021,Carrier,17
DLY00022,Weather,62
DLY00023,Weather,133
DLY00024,Weather,132
DLY00025,Maintenance,77
DLY00026,NAS,75
DLY00027,NAS,70
DLY00028,NAS,49
DLY00029,NAS,81
DLY00030,Weather,24
DLY00031,Weather,47
DLY00032,Weather,39
DLY00033,NAS,59
DLY00034,Weather,168
DLY00035,Maintenance,120
DLY00036,Weather,167
DLY00037,Weather,30
DLY00038,Carrier,27
DLY00039,NAS,56
DLY00040,Weather,91
DLY00041,NAS,62
DLY00042,Weather,156
DLY00043,Maintenance,52
DLY00044,Maintenance,224
DLY00045,Weather,75
DLY00046,Weather,139
DLY00047,Weather,77
DLY00048,Carrier,55
DLY00049,NAS,21
DLY00050,Maintenance,50
DLY00051,Weather,51
DLY00052,Carrier,52
DLY00053,Maintenance,180
DLY00054,Maintenance,30
DLY00055,Weather,138
DLY00056,Carrier,30
DLY00057,NAS,90
DLY00058,Weather,63
DLY00059,NAS,64
DLY00060,NAS,75
DLY00061,NAS,74
DLY00062,Maintenance,191
DLY00063,Weather,120
DLY00064,Weather,170
DLY00065,Weather,46
DLY00066,Carrier,36
DLY00067,Weather,175
DLY00068,Maintenance,63
DLY00069,Carrier,37
DLY00070,NAS,37
DLY00071,NAS,30
DLY00072,Carrier,45
DLY00073,Weather,160
DLY00074,Carrier,17
DLY00075,Maintenance,222
DLY00076,Weather,110
DLY00077,NAS,83
DLY00078,Weather,136
