:ID(Flight),flight_number,aircraft_id,operator,origin,destination,scheduled_departure,scheduled_arrival
FL00001,SK521,AC1001,SkyWays,BOS,MSY,2024-07-01T07:55:18,2024-07-01T10:12:55
FL00002,SK426,AC1001,SkyWays,MSY,PHX,2024-07-01T11:05:55,2024-07-01T12:18:33
FL00003,SK378,AC1001,SkyWays,PHX,MKE,2024-07-01T13:24:33,2024-07-01T17:48:07
FL00004,SK442,AC1001,SkyWays,MKE,MSY,2024-07-01T19:05:07,2024-07-01T23:03:32
FL00005,SK316,AC1001,SkyWays,MSY,ORD,2024-07-02T00:08:32,2024-07-02T01:42:21
FL00006,SK594,AC1001,SkyWays,ORD,LAX,2024-07-02T02:37:21,2024-07-02T06:23:13
FL00007,SK173,AC1001,SkyWays,LAX,ATL,2024-07-02T07:43:01,2024-07-02T09:11:58
FL00008,SK110,AC1001,SkyWays,ATL,MEM,2024-07-02T10:27:58,2024-07-02T15:18:35
FL00009,SK804,AC1001,SkyWays,MEM,BOS,2024-07-02T16:28:35,2024-07-02T21:28:47
FL00010,SK598,AC1001,SkyWays,BOS,SFO,2024-07-02T22:46:47,2024-07-03T02:48:50
FL00011,SK487,AC1001,SkyWays,SFO,ATL,2024-07-03T04:03:50,2024-07-03T06:18:55
FL00012,SK487,AC1001,SkyWays,ATL,MIA,2024-07-03T07:03:55,2024-07-03T09:03:05
FL00013,SK656,AC1001,SkyWays,MIA,ORD,2024-07-03T06:47:23,2024-07-03T10:18:08
FL00014,SK960,AC1001,SkyWays,ORD,BOS,2024-07-03T11:16:08,2024-07-03T12:57:41
FL00015,SK388,AC1001,SkyWays,BOS,LAS,2024-07-03T14:16:41,2024-07-03T17:54:48
FL00016,SK505,AC1001,SkyWays,LAS,ORD,2024-07-03T19:02:48,2024-07-03T20:07:43
FL00017,SK482,AC1001,SkyWays,ORD,SFO,2024-07-03T21:37:43,2024-07-04T03:00:46
FL00018,SK152,AC1001,SkyWays,SFO,ATL,2024-07-04T04:20:46,2024-07-04T07:51:41
FL00019,SK367,AC1001,SkyWays,ATL,LAX,2024-07-04T07:24:34,2024-07-04T09:49:39
FL00020,SK599,AC1001,SkyWays,LAX,ORD,2024-07-04T11:09:39,2024-07-04T13:40:59
FL00021,SK627,AC1001,SkyWays,ORD,DFW,2024-07-04T14:42:59,2024-07-04T19:27:05
FL00022,SK466,AC1001,SkyWays,DFW,JAX,2024-07-04T20:25:05,2024-07-05T00:51:03
FL00023,SK634,AC1001,SkyWays,JAX,IND,2024-07-05T02:20:03,2024-07-05T05:07:17
FL00024,SK672,AC1001,SkyWays,IND,DFW,2024-07-05T06:14:17,2024-07-05T09:56:18
FL00025,SK734,AC1001,SkyWays,DFW,JFK,2024-07-05T08:06:52,2024-07-05T09:29:34
FL00026,SK436,AC1001,SkyWays,JFK,CLE,2024-07-05T10:45:34,2024-07-05T13:07:48
FL00027,SK560,AC1001,SkyWays,CLE,DFW,2024-07-05T14:23:48,2024-07-05T19:18:33
FL00028,SK730,AC1001,SkyWays,DFW,DEN,2024-07-05T20:05:33,2024-07-05T23:44:26
FL00029,SK942,AC1001,SkyWays,DEN,LAX,2024-07-06T01:03:26,2024-07-06T03:27:08
FL00030,SK898,AC1001,SkyWays,LAX,ATL,2024-07-06T08:50:14,2024-07-06T11:34:10
FL00031,SK121,AC1001,SkyWays,ATL,DFW,2024-07-06T13:01:10,2024-07-06T17:06:42
FL00032,SK969,AC1001,SkyWays,DFW,SJC,2024-07-06T18:04:42,2024-07-06T20:53:06
FL00033,SK863,AC1001,SkyWays,SJC,SMF,2024-07-06T21:44:06,2024-07-07T01:04:12
FL00034,SK539,AC1001,SkyWays,SMF,MIA,2024-07-07T02:32:12,2024-07-07T07:30:47
FL00035,SK976,AC1001,SkyWays,MIA,STL,2024-07-07T08:32:47,2024-07-07T09:41:21
FL00036,SK567,AC1001,SkyWays,STL,MIA,2024-07-07T08:41:36,2024-07-07T13:15:43
FL00037,SK690,AC1001,SkyWays,MIA,LAS,2024-07-07T14:04:43,2024-07-07T16:59:17
FL00038,SK337,AC1001,SkyWays,LAS,DEN,2024-07-07T18:08:17,2024-07-07T21:13:11
FL00039,SK550,AC1001,SkyWays,DEN,ATL,2024-07-08T06:21:22,2024-07-08T11:13:18
FL00040,SK213,AC1001,SkyWays,ATL,SEA,2024-07-08T12:43:18,2024-07-08T17:55:13
FL00041,SK263,AC1001,SkyWays,SEA,DEN,2024-07-08T19:04:13,2024-07-08T22:13:01
FL00042,SK969,AC1001,SkyWays,DEN,DTW,2024-07-09T08:31:22,2024-07-09T10:03:09
FL00043,SK621,AC1001,SkyWays,DTW,SLC,2024-07-09T11:23:09,2024-07-09T16:12:04
