:ID(OperatingLimit),name,parameterName,unit,regime,minValue,maxValue,aircraftType
OL-A220-300-EGT,EGT - A220-300,EGT,°C,takeoff,855,890,A220-300
OL-A220-300-Vibration,Vibration - A220-300,Vibration,ips,takeoff,,2.5,A220-300
OL-A220-300-N1Speed,N1Speed - A220-300,N1Speed,% RPM,takeoff,,100,A220-300
OL-A220-300-FuelFlow,FuelFlow - A220-300,FuelFlow,kg/s,takeoff,1.15,1.35,A220-300
OL-A320-200-EGT,EGT - A320-200,EGT,°C,takeoff,620,680,A320-200
OL-A320-200-Vibration,Vibration - A320-200,Vibration,ips,takeoff,,2.0,A320-200
OL-A320-200-N1Speed,N1Speed - A320-200,N1Speed,% RPM,takeoff,100,104,A320-200
OL-A320-200-FuelFlow,FuelFlow - A320-200,FuelFlow,kg/s,takeoff,1.20,1.95,A320-200
OL-A321neo-EGT,EGT - A321neo,EGT,°C,takeoff,980,1040,A321neo
OL-A321neo-Vibration,Vibration - A321neo,Vibration,ips,takeoff,,2.5,A321neo
OL-A321neo-N1Speed,N1Speed - A321neo,N1Speed,% RPM,takeoff,,97,A321neo
OL-A321neo-FuelFlow,FuelFlow - A321neo,FuelFlow,kg/s,takeoff,1.50,2.00,A321neo
OL-B737-800-EGT,EGT - B737-800,EGT,°C,takeoff,900,950,B737-800
OL-B737-800-Vibration,Vibration - B737-800,Vibration,ips,takeoff,,3.0,B737-800
OL-B737-800-N1Speed,N1Speed - B737-800,N1Speed,% RPM,takeoff,,104,B737-800
OL-B737-800-FuelFlow,FuelFlow - B737-800,FuelFlow,kg/s,takeoff,1.20,1.50,B737-800
OL-E190-EGT,EGT - E190,EGT,°C,takeoff,870,900,E190
OL-E190-Vibration,Vibration - E190,Vibration,ips,takeoff,,3.0,E190
OL-E190-N1Speed,N1Speed - E190,N1Speed,% RPM,takeoff,,100,E190
OL-E190-FuelFlow,FuelFlow - E190,FuelFlow,kg/s,takeoff,1.00,1.20,E190
