reading_id,sensor_id,ts,value
AC1001-S01-SN01-R00001,AC1001-S01-SN01,2024-07-01T00:00:00,660.62658
AC1001-S01-SN01-R00005,AC1001-S01-SN01,2024-07-01T04:00:00,658.50162
AC1001-S01-SN01-R00009,AC1001-S01-SN01,2024-07-01T08:00:00,661.18625
AC1001-S01-SN01-R00013,AC1001-S01-SN01,2024-07-01T12:00:00,659.79882
AC1001-S01-SN01-R00017,AC1001-S01-SN01,2024-07-01T16:00:00,661.2913
AC1001-S01-SN01-R00021,AC1001-S01-SN01,2024-07-01T20:00:00,662.54979
AC1001-S01-SN01-R00025,AC1001-S01-SN01,2024-07-02T00:00:00,660.18816
AC1001-S01-SN01-R00029,AC1001-S01-SN01,2024-07-02T04:00:00,665.87503
AC1001-S01-SN01-R00033,AC1001-S01-SN01,2024-07-02T08:00:00,660.58937
AC1001-S01-SN01-R00037,AC1001-S01-SN01,2024-07-02T12:00:00,655.60193
AC1001-S01-SN01-R00041,AC1001-S01-SN01,2024-07-02T16:00:00,656.21251
AC1001-S01-SN01-R00045,AC1001-S01-SN01,2024-07-02T20:00:00,661.64598
AC1001-S01-SN01-R00049,AC1001-S01-SN01,2024-07-03T00:00:00,659.66208
AC1001-S01-SN01-R00053,AC1001-S01-SN01,2024-07-03T04:00:00,657.05803
AC1001-S01-SN01-R00057,AC1001-S01-SN01,2024-07-03T08:00:00,655.72811
AC1001-S01-SN01-R00061,AC1001-S01-SN01,2024-07-03T12:00:00,659.38233
AC1001-S01-SN01-R00065,AC1001-S01-SN01,2024-07-03T16:00:00,657.64634
AC1001-S01-SN01-R00069,AC1001-S01-SN01,2024-07-03T20:00:00,654.45616
AC1001-S01-SN01-R00073,AC1001-S01-SN01,2024-07-04T00:00:00,659.47373
AC1001-S01-SN01-R00077,AC1001-S01-SN01,2024-07-04T04:00:00,661.21898
AC1001-S01-SN01-R00081,AC1001-S01-SN01,2024-07-04T08:00:00,657.81291
AC1001-S01-SN01-R00085,AC1001-S01-SN01,2024-07-04T12:00:00,657.49487
AC1001-S01-SN01-R00089,AC1001-S01-SN01,2024-07-04T16:00:00,661.5208
AC1001-S01-SN01-R00093,AC1001-S01-SN01,2024-07-04T20:00:00,653.34047
AC1001-S01-SN01-R00097,AC1001-S01-SN01,2024-07-05T00:00:00,660.69953
AC1001-S01-SN01-R00101,AC1001-S01-SN01,2024-07-05T04:00:00,658.10757
AC1001-S01-SN01-R00105,AC1001-S01-SN01,2024-07-05T08:00:00,656.0836
AC1001-S01-SN01-R00109,AC1001-S01-SN01,2024-07-05T12:00:00,660.98334
AC1001-S01-SN01-R00113,AC1001-S01-SN01,2024-07-05T16:00:00,659.76949
AC1001-S01-SN01-R00117,AC1001-S01-SN01,2024-07-05T20:00:00,665.17744
AC1001-S01-SN01-R00121,AC1001-S01-SN01,2024-07-06T00:00:00,660.39538
AC1001-S01-SN01-R00125,AC1001-S01-SN01,2024-07-06T04:00:00,664.80114
AC1001-S01-SN01-R00129,AC1001-S01-SN01,2024-07-06T08:00:00,658.36942
AC1001-S01-SN01-R00133,AC1001-S01-SN01,2024-07-06T12:00:00,654.64011
AC1001-S01-SN01-R00137,AC1001-S01-SN01,2024-07-06T16:00:00,666.83067
AC1001-S01-SN01-R00141,AC1001-S01-SN01,2024-07-06T20:00:00,652.43413
AC1001-S01-SN01-R00145,AC1001-S01-SN01,2024-07-07T00:00:00,657.80814
AC1001-S01-SN01-R00149,AC1001-S01-SN01,2024-07-07T04:00:00,659.44943
AC1001-S01-SN01-R00153,AC1001-S01-SN01,2024-07-07T08:00:00,659.8706
AC1001-S01-SN01-R00157,AC1001-S01-SN01,2024-07-07T12:00:00,658.36548
AC1001-S01-SN01-R00161,AC1001-S01-SN01,2024-07-07T16:00:00,667.61684
AC1001-S01-SN01-R00165,AC1001-S01-SN01,2024-07-07T20:00:00,663.48188
AC1001-S01-SN01-R00169,AC1001-S01-SN01,2024-07-08T00:00:00,657.9838
AC1001-S01-SN01-R00173,AC1001-S01-SN01,2024-07-08T04:00:00,655.85695
AC1001-S01-SN01-R00177,AC1001-S01-SN01,2024-07-08T08:00:00,659.96868
AC1001-S01-SN01-R00181,AC1001-S01-SN01,2024-07-08T12:00:00,658.99985
AC1001-S01-SN01-R00185,AC1001-S01-SN01,2024-07-08T16:00:00,661.13359
AC1001-S01-SN01-R00189,AC1001-S01-SN01,2024-07-08T20:00:00,688.1949
AC1001-S01-SN01-R00193,AC1001-S01-SN01,2024-07-09T00:00:00,656.72597
AC1001-S01-SN01-R00197,AC1001-S01-SN01,2024-07-09T04:00:00,660.63689
AC1001-S01-SN01-R00201,AC1001-S01-SN01,2024-07-09T08:00:00,661.02604
AC1001-S01-SN01-R00205,AC1001-S01-SN01,2024-07-09T12:00:00,657.81187
AC1001-S01-SN01-R00209,AC1001-S01-SN01,2024-07-09T16:00:00,664.02301
AC1001-S01-SN01-R00213,AC1001-S01-SN01,2024-07-09T20:00:00,659.72468
AC1001-S01-SN01-R00217,AC1001-S01-SN01,2024-07-10T00:00:00,660.38494
AC1001-S01-SN01-R00221,AC1001-S01-SN01,2024-07-10T04:00:00,661.5979
AC1001-S01-SN01-R00225,AC1001-S01-SN01,2024-07-10T08:00:00,669.84523
AC1001-S01-SN01-R00229,AC1001-S01-SN01,2024-07-10T12:00:00,655.96621
AC1001-S01-SN01-R00233,AC1001-S01-SN01,2024-07-10T16:00:00,658.59064
AC1001-S01-SN01-R00237,AC1001-S01-SN01,2024-07-10T20:00:00,657.47816
AC1001-S01-SN01-R00241,AC1001-S01-SN01,2024-07-11T00:00:00,655.09874
AC1001-S01-SN01-R00245,AC1001-S01-SN01,2024-07-11T04:00:00,657.46622
AC1001-S01-SN01-R00249,AC1001-S01-SN01,2024-07-11T08:00:00,660.07028
AC1001-S01-SN01-R00253,AC1001-S01-SN01,2024-07-11T12:00:00,660.55486
AC1001-S01-SN01-R00257,AC1001-S01-SN01,2024-07-11T16:00:00,660.99913
AC1001-S01-SN01-R00261,AC1001-S01-SN01,2024-07-11T20:00:00,662.33429
AC1001-S01-SN01-R00265,AC1001-S01-SN01,2024-07-12T00:00:00,662.11987
AC1001-S01-SN01-R00269,AC1001-S01-SN01,2024-07-12T04:00:00,659.1046
AC1001-S01-SN01-R00273,AC1001-S01-SN01,2024-07-12T08:00:00,667.19097
AC1001-S01-SN01-R00277,AC1001-S01-SN01,2024-07-12T12:00:00,665.90741
AC1001-S01-SN01-R00281,AC1001-S01-SN01,2024-07-12T16:00:00,665.03863
AC1001-S01-SN01-R00285,AC1001-S01-SN01,2024-07-12T20:00:00,662.76978
AC1001-S01-SN01-R00289,AC1001-S01-SN01,2024-07-13T00:00:00,661.01903
AC1001-S01-SN01-R00293,AC1001-S01-SN01,2024-07-13T04:00:00,661.12615
AC1001-S01-SN01-R00297,AC1001-S01-SN01,2024-07-13T08:00:00,655.86078
AC1001-S01-SN01-R00301,AC1001-S01-SN01,2024-07-13T12:00:00,665.08689
AC1001-S01-SN01-R00305,AC1001-S01-SN01,2024-07-13T16:00:00,660.94707
AC1001-S01-SN01-R00309,AC1001-S01-SN01,2024-07-13T20:00:00,666.29279
AC1001-S01-SN01-R00313,AC1001-S01-SN01,2024-07-14T00:00:00,665.12399
AC1001-S01-SN01-R00317,AC1001-S01-SN01,2024-07-14T04:00:00,665.74375
AC1001-S01-SN01-R00321,AC1001-S01-SN01,2024-07-14T08:00:00,666.43375
AC1001-S01-SN01-R00325,AC1001-S01-SN01,2024-07-14T12:00:00,656.88643
AC1001-S01-SN01-R00329,AC1001-S01-SN01,2024-07-14T16:00:00,667.73205
AC1001-S01-SN01-R00333,AC1001-S01-SN01,2024-07-14T20:00:00,662.61167
