:START_ID(Flight),:END_ID(Airport)
FL00001,AP016
FL00002,AP026
FL00003,AP002
FL00004,AP022
FL00005,AP028
FL00006,AP009
FL00007,AP008
FL00008,AP021
FL00009,AP003
FL00010,AP005
FL00011,AP001
FL00012,AP034
FL00013,AP017
FL00014,AP011
FL00015,AP022
FL00016,AP007
FL00017,AP013
FL00018,AP030
FL00019,AP008
FL00020,AP007
FL00021,AP014
FL00022,AP004
FL00023,AP015
FL00024,AP009
FL00025,AP037
FL00026,AP008
FL00027,AP009
FL00028,AP022
FL00029,AP001
FL00030,AP016
FL00031,AP006
FL00032,AP015
FL00033,AP033
FL00034,AP010
FL00035,AP027
FL00036,AP006
FL00037,AP038
FL00038,AP004
FL00039,AP014
FL00040,AP007
FL00041,AP001
FL00042,AP009
FL00043,AP011
FL00044,AP004
FL00045,AP011
FL00046,AP010
FL00047,AP017
FL00048,AP021
FL00049,AP005
FL00050,AP010
FL00051,AP002
FL00052,AP005
FL00053,AP001
FL00054,AP010
FL00055,AP005
FL00056,AP002
FL00057,AP021
FL00058,AP010
FL00059,AP011
FL00060,AP005
FL00061,AP009
FL00062,AP004
FL00063,AP005
FL00064,AP001
FL00065,AP005
FL00066,AP010
FL00067,AP035
FL00068,AP013
FL00069,AP007
FL00070,AP039
FL00071,AP024
FL00072,AP022
FL00073,AP004
FL00074,AP011
FL00075,AP007
FL00076,AP008
FL00077,AP002
FL00078,AP005
FL00079,AP040
FL00080,AP010
FL00081,AP007
FL00082,AP003
FL00083,AP004
FL00084,AP008
FL00085,AP007
FL00086,AP006
FL00087,AP031
FL00088,AP012
FL00089,AP003
FL00090,AP002
FL00091,AP012
FL00092,AP023
FL00093,AP036
FL00094,AP015
FL00095,AP021
FL00096,AP003
FL00097,AP005
FL00098,AP006
FL00099,AP008
FL00100,AP014
FL00101,AP001
FL00102,AP025
FL00103,AP037
FL00104,AP009
FL00105,AP008
FL00106,AP011
FL00107,AP003
FL00108,AP004
FL00109,AP021
FL00110,AP006
FL00111,AP004
FL00112,AP001
FL00113,AP030
FL00114,AP003
FL00115,AP010
FL00116,AP016
FL00117,AP005
FL00118,AP035
FL00119,AP004
FL00120,AP039
FL00121,AP001
FL00122,AP002
FL00123,AP013
FL00124,AP004
FL00125,AP003
FL00126,AP010
FL00127,AP006
FL00128,AP026
FL00129,AP007
FL00130,AP037
FL00131,AP009
FL00132,AP007
FL00133,AP026
FL00134,AP006
FL00135,AP032
FL00136,AP012
FL00137,AP039
FL00138,AP014
FL00139,AP034
FL00140,AP027
FL00141,AP018
FL00142,AP027
FL00143,AP005
FL00144,AP033
FL00145,AP003
FL00146,AP001
FL00147,AP036
FL00148,AP001
FL00149,AP009
FL00150,AP001
FL00151,AP036
FL00152,AP002
FL00153,AP015
FL00154,AP030
FL00155,AP027
FL00156,AP039
FL00157,AP005
FL00158,AP002
FL00159,AP005
FL00160,AP003
FL00161,AP001
FL00162,AP009
FL00163,AP030
FL00164,AP025
FL00165,AP009
FL00166,AP027
FL00167,AP034
FL00168,AP003
FL00169,AP010
FL00170,AP001
FL00171,AP010
FL00172,AP004
FL00173,AP012
FL00174,AP036
FL00175,AP002
FL00176,AP010
FL00177,AP003
FL00178,AP031
FL00179,AP003
FL00180,AP026
FL00181,AP015
FL00182,AP010
FL00183,AP008
FL00184,AP010
FL00185,AP014
FL00186,AP006
FL00187,AP024
FL00188,AP003
FL00189,AP008
FL00190,AP005
FL00191,AP008
FL00192,AP002
FL00193,AP032
FL00194,AP001
FL00195,AP002
FL00196,AP027
FL00197,AP011
FL00198,AP001
FL00199,AP003
FL00200,AP006
FL00201,AP001
FL00202,AP006
FL00203,AP031
FL00204,AP009
FL00205,AP019
FL00206,AP030
FL00207,AP033
FL00208,AP028
FL00209,AP027
FL00210,AP001
FL00211,AP029
FL00212,AP035
FL00213,AP006
FL00214,AP002
FL00215,AP004
FL00216,AP010
FL00217,AP008
FL00218,AP006
FL00219,AP010
FL00220,AP017
FL00221,AP003
FL00222,AP007
FL00223,AP015
FL00224,AP028
FL00225,AP029
FL00226,AP019
FL00227,AP016
FL00228,AP006
FL00229,AP027
FL00230,AP002
FL00231,AP006
FL00232,AP009
FL00233,AP011
FL00234,AP006
FL00235,AP008
FL00236,AP026
FL00237,AP016
FL00238,AP026
FL00239,AP001
FL00240,AP034
FL00241,AP006
FL00242,AP019
FL00243,AP007
FL00244,AP004
FL00245,AP038
FL00246,AP001
FL00247,AP035
FL00248,AP004
FL00249,AP001
FL00250,AP005
FL00251,AP010
FL00252,AP027
FL00253,AP016
FL00254,AP017
FL00255,AP002
FL00256,AP004
FL00257,AP040
FL00258,AP036
FL00259,AP008
FL00260,AP009
FL00261,AP006
FL00262,AP035
FL00263,AP003
FL00264,AP007
FL00265,AP002
FL00266,AP005
FL00267,AP024
FL00268,AP007
FL00269,AP009
FL00270,AP030
FL00271,AP029
FL00272,AP003
FL00273,AP002
FL00274,AP006
FL00275,AP028
FL00276,AP007
FL00277,AP004
FL00278,AP014
FL00279,AP004
FL00280,AP024
FL00281,AP036
FL00282,AP001
FL00283,AP004
FL00284,AP028
FL00285,AP002
FL00286,AP032
FL00287,AP003
FL00288,AP001
FL00289,AP010
FL00290,AP005
FL00291,AP006
FL00292,AP014
FL00293,AP023
FL00294,AP005
FL00295,AP023
FL00296,AP038
FL00297,AP002
FL00298,AP008
FL00299,AP031
FL00300,AP009
FL00301,AP002
FL00302,AP006
FL00303,AP010
FL00304,AP032
FL00305,AP001
FL00306,AP017
FL00307,AP005
FL00308,AP024
FL00309,AP005
FL00310,AP012
FL00311,AP001
FL00312,AP008
FL00313,AP005
FL00314,AP012
FL00315,AP033
FL00316,AP006
FL00317,AP004
FL00318,AP040
FL00319,AP002
FL00320,AP017
FL00321,AP026
FL00322,AP001
FL00323,AP028
FL00324,AP004
FL00325,AP036
FL00326,AP021
FL00327,AP022
FL00328,AP008
FL00329,AP016
FL00330,AP003
FL00331,AP010
FL00332,AP003
FL00333,AP006
FL00334,AP037
FL00335,AP012
FL00336,AP003
FL00337,AP005
FL00338,AP032
FL00339,AP015
FL00340,AP027
FL00341,AP010
FL00342,AP009
FL00343,AP008
FL00344,AP003
FL00345,AP007
FL00346,AP001
FL00347,AP003
FL00348,AP005
FL00349,AP017
FL00350,AP001
FL00351,AP006
FL00352,AP005
FL00353,AP016
FL00354,AP008
FL00355,AP006
FL00356,AP012
FL00357,AP004
FL00358,AP008
FL00359,AP004
FL00360,AP001
FL00361,AP005
FL00362,AP032
FL00363,AP005
FL00364,AP037
FL00365,AP002
FL00366,AP020
FL00367,AP010
FL00368,AP033
FL00369,AP038
FL00370,AP006
FL00371,AP032
FL00372,AP007
FL00373,AP006
FL00374,AP035
FL00375,AP005
FL00376,AP007
FL00377,AP035
FL00378,AP028
FL00379,AP026
FL00380,AP020
FL00381,AP002
FL00382,AP001
FL00383,AP035
FL00384,AP040
FL00385,AP004
FL00386,AP011
FL00387,AP019
FL00388,AP012
FL00389,AP018
FL00390,AP033
FL00391,AP024
FL00392,AP006
FL00393,AP022
FL00394,AP002
FL00395,AP020
FL00396,AP029
FL00397,AP008
FL00398,AP009
FL00399,AP010
FL00400,AP002
FL00401,AP009
FL00402,AP005
FL00403,AP002
FL00404,AP017
FL00405,AP006
FL00406,AP040
FL00407,AP004
FL00408,AP002
FL00409,AP029
FL00410,AP026
FL00411,AP011
FL00412,AP015
FL00413,AP032
FL00414,AP023
FL00415,AP002
FL00416,AP013
FL00417,AP033
FL00418,AP037
FL00419,AP024
FL00420,AP019
FL00421,AP039
FL00422,AP009
FL00423,AP010
FL00424,AP029
FL00425,AP039
FL00426,AP001
FL00427,AP006
FL00428,AP008
FL00429,AP019
FL00430,AP006
FL00431,AP004
FL00432,AP016
FL00433,AP009
FL00434,AP008
FL00435,AP004
FL00436,AP029
FL00437,AP014
FL00438,AP031
FL00439,AP015
FL00440,AP014
FL00441,AP005
FL00442,AP008
FL00443,AP022
FL00444,AP010
FL00445,AP001
FL00446,AP039
FL00447,AP020
FL00448,AP035
FL00449,AP017
FL00450,AP028
FL00451,AP004
FL00452,AP006
FL00453,AP001
FL00454,AP009
FL00455,AP007
FL00456,AP019
FL00457,AP011
FL00458,AP009
FL00459,AP023
FL00460,AP005
FL00461,AP030
FL00462,AP001
FL00463,AP013
FL00464,AP008
FL00465,AP004
FL00466,AP008
FL00467,AP004
FL00468,AP008
FL00469,AP003
FL00470,AP002
FL00471,AP024
FL00472,AP005
FL00473,AP032
FL00474,AP037
FL00475,AP008
FL00476,AP038
FL00477,AP029
FL00478,AP002
FL00479,AP009
FL00480,AP008
FL00481,AP007
FL00482,AP003
FL00483,AP030
FL00484,AP025
FL00485,AP015
FL00486,AP017
FL00487,AP022
FL00488,AP034
FL00489,AP036
