:START_ID(Flight),:END_ID(Airport)
FL00001,AP009
FL00002,AP016
FL00003,AP026
FL00004,AP002
FL00005,AP022
FL00006,AP028
FL00007,AP009
FL00008,AP008
FL00009,AP021
FL00010,AP003
FL00011,AP005
FL00012,AP001
FL00013,AP034
FL00014,AP017
FL00015,AP011
FL00016,AP022
FL00017,AP007
FL00018,AP013
FL00019,AP030
FL00020,AP008
FL00021,AP007
FL00022,AP014
FL00023,AP004
FL00024,AP015
FL00025,AP009
FL00026,AP037
FL00027,AP008
FL00028,AP009
FL00029,AP022
FL00030,AP001
FL00031,AP016
FL00032,AP006
FL00033,AP015
FL00034,AP033
FL00035,AP010
FL00036,AP027
FL00037,AP006
FL00038,AP038
FL00039,AP004
FL00040,AP014
FL00041,AP007
FL00042,AP001
FL00043,AP009
FL00044,AP011
FL00045,AP004
FL00046,AP011
FL00047,AP010
FL00048,AP017
FL00049,AP021
FL00050,AP005
FL00051,AP010
FL00052,AP002
FL00053,AP005
FL00054,AP001
FL00055,AP010
FL00056,AP005
FL00057,AP002
FL00058,AP021
FL00059,AP010
FL00060,AP011
FL00061,AP005
FL00062,AP009
FL00063,AP004
FL00064,AP005
FL00065,AP001
FL00066,AP005
FL00067,AP010
FL00068,AP035
FL00069,AP013
FL00070,AP007
FL00071,AP039
FL00072,AP024
FL00073,AP022
FL00074,AP004
FL00075,AP011
FL00076,AP007
FL00077,AP008
FL00078,AP002
FL00079,AP005
FL00080,AP040
FL00081,AP010
FL00082,AP007
FL00083,AP003
FL00084,AP004
FL00085,AP008
FL00086,AP007
FL00087,AP006
FL00088,AP031
FL00089,AP012
FL00090,AP003
FL00091,AP002
FL00092,AP012
FL00093,AP023
FL00094,AP036
FL00095,AP015
FL00096,AP021
FL00097,AP003
FL00098,AP005
FL00099,AP006
FL00100,AP008
FL00101,AP014
FL00102,AP001
FL00103,AP025
FL00104,AP037
FL00105,AP009
FL00106,AP008
FL00107,AP011
FL00108,AP003
FL00109,AP004
FL00110,AP021
FL00111,AP006
FL00112,AP004
FL00113,AP001
FL00114,AP030
FL00115,AP003
FL00116,AP010
FL00117,AP016
FL00118,AP005
FL00119,AP035
FL00120,AP004
FL00121,AP039
FL00122,AP001
FL00123,AP002
FL00124,AP013
FL00125,AP004
FL00126,AP003
FL00127,AP010
FL00128,AP006
FL00129,AP026
FL00130,AP007
FL00131,AP037
FL00132,AP009
FL00133,AP007
FL00134,AP026
FL00135,AP006
FL00136,AP032
FL00137,AP012
FL00138,AP039
FL00139,AP014
FL00140,AP034
FL00141,AP027
FL00142,AP018
FL00143,AP027
FL00144,AP005
