:START_ID(Aircraft),:END_ID(System)
AC1001,AC1001-S01
AC1001,AC1001-S02
AC1001,AC1001-S03
AC1001,AC1001-S04
AC1002,AC1002-S01
AC1002,AC1002-S02
AC1002,AC1002-S03
AC1002,AC1002-S04
AC1003,AC1003-S01
AC1003,AC1003-S02
AC1003,AC1003-S03
AC1003,AC1003-S04
AC1004,AC1004-S01
AC1004,AC1004-S02
AC1004,AC1004-S03
AC1004,AC1004-S04
AC1005,AC1005-S01
AC1005,AC1005-S02
AC1005,AC1005-S03
AC1005,AC1005-S04
AC1006,AC1006-S01
AC1006,AC1006-S02
AC1006,AC1006-S03
AC1006,AC1006-S04
AC1007,AC1007-S01
AC1007,AC1007-S02
AC1007,AC1007-S03
AC1007,AC1007-S04
AC1008,AC1008-S01
AC1008,AC1008-S02
AC1008,AC1008-S03
AC1008,AC1008-S04
AC1009,AC1009-S01
AC1009,AC1009-S02
AC1009,AC1009-S03
AC1009,AC1009-S04
AC1010,AC1010-S01
AC1010,AC1010-S02
AC1010,AC1010-S03
AC1010,AC1010-S04
AC1011,AC1011-S01
AC1011,AC1011-S02
AC1011,AC1011-S03
AC1011,AC1011-S04
AC1012,AC1012-S01
AC1012,AC1012-S02
AC1012,AC1012-S03
AC1012,AC1012-S04
AC1013,AC1013-S01
AC1013,AC1013-S02
AC1013,AC1013-S03
AC1013,AC1013-S04
AC1014,AC1014-S01
AC1014,AC1014-S02
AC1014,AC1014-S03
AC1014,AC1014-S04
AC1015,AC1015-S01
AC1015,AC1015-S02
AC1015,AC1015-S03
AC1015,AC1015-S04
AC1016,AC1016-S01
AC1016,AC1016-S02
AC1016,AC1016-S03
AC1016,AC1016-S04
AC1017,AC1017-S01
AC1017,AC1017-S02
AC1017,AC1017-S03
AC1017,AC1017-S04
AC1018,AC1018-S01
AC1018,AC1018-S02
AC1018,AC1018-S03
AC1018,AC1018-S04
AC1019,AC1019-S01
AC1019,AC1019-S02
AC1019,AC1019-S03
AC1019,AC1019-S04
AC1020,AC1020-S01
AC1020,AC1020-S02
AC1020,AC1020-S03
