:START_ID(MaintenanceEvent),:END_ID(Aircraft)
ME0001,AC1002
ME0002,AC1002
ME0003,AC1002
ME0004,AC1002
ME0005,AC1002
ME0006,AC1002
ME0007,AC1002
ME0008,AC1002
ME0009,AC1002
ME0010,AC1002
ME0011,AC1002
ME0012,AC1002
ME0013,AC1002
ME0014,AC1002
ME0015,AC1005
ME0016,AC1006
ME0017,AC1006
ME0018,AC1006
ME0019,AC1006
ME0020,AC1006
ME0021,AC1006
ME0022,AC1006
ME0023,AC1006
ME0024,AC1006
ME0025,AC1006
ME0026,AC1007
ME0027,AC1007
ME0028,AC1007
ME0029,AC1007
ME0030,AC1007
ME0031,AC1007
ME0032,AC1007
ME0033,AC1007
ME0034,AC1007
ME0035,AC1007
ME0036,AC1007
ME0037,AC1007
ME0038,AC1007
ME0039,AC1007
ME0040,AC1007
ME0041,AC1007
ME0042,AC1007
ME0043,AC1007
ME0044,AC1007
ME0045,AC1007
ME0046,AC1007
ME0047,AC1007
ME0048,AC1007
ME0049,AC1007
ME0050,AC1007
ME0051,AC1007
ME0052,AC1007
ME0053,AC1007
ME0054,AC1007
ME0055,AC1007
ME0056,AC1007
ME0057,AC1007
ME0058,AC1007
ME0059,AC1007
ME0060,AC1008
ME0061,AC1008
ME0062,AC1008
ME0063,AC1008
ME0064,AC1008
ME0065,AC1008
ME0066,AC1008
ME0067,AC1008
ME0068,AC1008
ME0069,AC1008
ME0070,AC1008
ME0071,AC1008
ME0072,AC1008
ME0073,AC1008
ME0074,AC1008
ME0075,AC1008
ME0076,AC1008
ME0077,AC1008
ME0078,AC1009
ME0079,AC1009
ME0080,AC1009
ME0081,AC1010
ME0082,AC1010
ME0083,AC1010
ME0084,AC1010
ME0085,AC1010
ME0086,AC1012
ME0087,AC1012
ME0088,AC1012
ME0089,AC1012
ME0090,AC1012
ME0091,AC1012
ME0092,AC1012
ME0093,AC1013
ME0094,AC1013
ME0095,AC1014
ME0096,AC1014
ME0097,AC1014
ME0098,AC1014
ME0099,AC1014
ME0100,AC1014
ME0101,AC1014
ME0102,AC1014
ME0103,AC1014
ME0104,AC1014
ME0105,AC1014
ME0106,AC1014
ME0107,AC1014
ME0108,AC1014
ME0109,AC1015
ME0110,AC1015
ME0111,AC1015
ME0112,AC1015
ME0113,AC1015
ME0114,AC1015
ME0115,AC1015
ME0116,AC1015
ME0117,AC1015
ME0118,AC1015
ME0119,AC1015
ME0120,AC1015
ME0121,AC1016
ME0122,AC1016
ME0123,AC1016
ME0124,AC1016
ME0125,AC1017
ME0126,AC1017
ME0127,AC1017
ME0128,AC1017
ME0129,AC1017
ME0130,AC1019
ME0131,AC1019
ME0132,AC1019
ME0133,AC1019
ME0134,AC1019
ME0135,AC1019
ME0136,AC1019
ME0137,AC1019
ME0138,AC1019
ME0139,AC1019
ME0140,AC1019
ME0141,AC1019
ME0142,AC1019
ME0143,AC1020
ME0144,AC1020
ME0145,AC1020
ME0146,AC1020
ME0147,AC1020
ME0148,AC1020
ME0149,AC1020
ME0150,AC1020
ME0151,AC1020
ME0152,AC1020
ME0153,AC1020
ME0154,AC1020
ME0155,AC1020
ME0156,AC1020
ME0157,AC1021
ME0158,AC1021
ME0159,AC1021
ME0160,AC1021
ME0161,AC1021
ME0162,AC1021
ME0163,AC1021
ME0164,AC1021
ME0165,AC1021
ME0166,AC1022
ME0167,AC1022
ME0168,AC1022
ME0169,AC1022
ME0170,AC1022
ME0171,AC1022
ME0172,AC1022
ME0173,AC1022
ME0174,AC1022
ME0175,AC1022
ME0176,AC1022
ME0177,AC1022
ME0178,AC1022
ME0179,AC1022
ME0180,AC1022
ME0181,AC1022
ME0182,AC1022
ME0183,AC1022
ME0184,AC1022
ME0185,AC1022
ME0186,AC1022
ME0187,AC1022
ME0188,AC1025
ME0189,AC1025
ME0190,AC1026
ME0191,AC1026
ME0192,AC1026
ME0193,AC1026
ME0194,AC1026
ME0195,AC1026
ME0196,AC1026
ME0197,AC1026
ME0198,AC1026
ME0199,AC1026
ME0200,AC1027
ME0201,AC1027
ME0202,AC1027
ME0203,AC1027
ME0204,AC1027
ME0205,AC1027
ME0206,AC1027
ME0207,AC1027
ME0208,AC1027
ME0209,AC1027
ME0210,AC1027
ME0211,AC1027
ME0212,AC1027
ME0213,AC1027
ME0214,AC1027
ME0215,AC1027
ME0216,AC1028
ME0217,AC1028
ME0218,AC1028
ME0219,AC1028
ME0220,AC1028
ME0221,AC1028
ME0222,AC1028
ME0223,AC1028
ME0224,AC1028
ME0225,AC1028
ME0226,AC1028
ME0227,AC1028
ME0228,AC1028
ME0229,AC1029
ME0230,AC1029
ME0231,AC1029
ME0232,AC1029
ME0233,AC1029
ME0234,AC1029
ME0235,AC1029
ME0236,AC1029
ME0237,AC1029
ME0238,AC1029
ME0239,AC1029
ME0240,AC1029
ME0241,AC1029
ME0242,AC1029
ME0243,AC1029
ME0244,AC1029
ME0245,AC1029
ME0246,AC1029
ME0247,AC1029
ME0248,AC1029
ME0249,AC1030
ME0250,AC1031
ME0251,AC1031
ME0252,AC1031
ME0253,AC1031
ME0254,AC1031
ME0255,AC1031
ME0256,AC1033
ME0257,AC1033
ME0258,AC1033
ME0259,AC1034
ME0260,AC1034
ME0261,AC1034
ME0262,AC1034
ME0263,AC1034
