:START_ID(Flight),:END_ID(Airport)
FL00001,AP029
FL00002,AP011
FL00003,AP039
FL00004,AP029
FL00005,AP003
FL00006,AP002
FL00007,AP005
FL00008,AP037
FL00009,AP010
FL00010,AP007
FL00011,AP005
FL00012,AP009
FL00013,AP003
FL00014,AP010
FL00015,AP019
FL00016,AP003
FL00017,AP007
FL00018,AP005
FL00019,AP002
FL00020,AP003
FL00021,AP004
FL00022,AP038
FL00023,AP031
FL00024,AP004
FL00025,AP001
FL00026,AP030
FL00027,AP004
FL00028,AP006
FL00029,AP002
FL00030,AP005
FL00031,AP004
FL00032,AP034
FL00033,AP035
FL00034,AP009
FL00035,AP033
FL00036,AP009
FL00037,AP019
FL00038,AP006
FL00039,AP005
FL00040,AP008
FL00041,AP006
FL00042,AP013
FL00043,AP015
FL00044,AP003
FL00045,AP033
FL00046,AP010
FL00047,AP027
FL00048,AP007
FL00049,AP024
FL00050,AP005
FL00051,AP003
FL00052,AP009
FL00053,AP003
FL00054,AP004
FL00055,AP021
FL00056,AP015
FL00057,AP040
FL00058,AP028
FL00059,AP034
FL00060,AP015
FL00061,AP008
FL00062,AP025
FL00063,AP001
FL00064,AP002
FL00065,AP004
FL00066,AP033
FL00067,AP002
FL00068,AP008
FL00069,AP022
FL00070,AP010
FL00071,AP003
FL00072,AP008
FL00073,AP010
FL00074,AP006
FL00075,AP001
FL00076,AP021
FL00077,AP007
FL00078,AP002
FL00079,AP009
FL00080,AP004
FL00081,AP031
FL00082,AP022
FL00083,AP007
FL00084,AP001
FL00085,AP007
FL00086,AP040
FL00087,AP007
FL00088,AP012
FL00089,AP003
FL00090,AP011
FL00091,AP032
FL00092,AP016
FL00093,AP032
FL00094,AP005
FL00095,AP009
FL00096,AP010
FL00097,AP002
FL00098,AP006
FL00099,AP005
FL00100,AP034
FL00101,AP002
FL00102,AP003
FL00103,AP025
FL00104,AP021
FL00105,AP009
FL00106,AP006
FL00107,AP007
FL00108,AP030
FL00109,AP018
FL00110,AP004
FL00111,AP009
FL00112,AP021
FL00113,AP034
FL00114,AP024
FL00115,AP003
FL00116,AP029
FL00117,AP020
FL00118,AP001
FL00119,AP020
FL00120,AP030
FL00121,AP006
FL00122,AP019
FL00123,AP007
FL00124,AP003
FL00125,AP035
FL00126,AP002
FL00127,AP010
FL00128,AP006
FL00129,AP019
FL00130,AP036
FL00131,AP013
FL00132,AP008
FL00133,AP002
FL00134,AP015
FL00135,AP014
FL00136,AP026
FL00137,AP009
FL00138,AP005
FL00139,AP006
FL00140,AP033
FL00141,AP037
FL00142,AP028
FL00143,AP001
FL00144,AP009
FL00145,AP032
FL00146,AP003
FL00147,AP009
FL00148,AP036
FL00149,AP003
FL00150,AP009
FL00151,AP008
FL00152,AP002
FL00153,AP005
FL00154,AP010
FL00155,AP025
FL00156,AP014
FL00157,AP009
FL00158,AP020
FL00159,AP040
FL00160,AP020
FL00161,AP008
FL00162,AP025
FL00163,AP032
FL00164,AP006
FL00165,AP007
FL00166,AP038
FL00167,AP009
FL00168,AP006
FL00169,AP019
FL00170,AP014
FL00171,AP026
FL00172,AP012
FL00173,AP002
FL00174,AP016
FL00175,AP005
FL00176,AP006
FL00177,AP005
FL00178,AP008
FL00179,AP004
FL00180,AP018
FL00181,AP037
FL00182,AP009
FL00183,AP007
FL00184,AP006
FL00185,AP009
FL00186,AP004
FL00187,AP040
FL00188,AP038
FL00189,AP009
FL00190,AP025
FL00191,AP026
FL00192,AP007
FL00193,AP023
FL00194,AP016
FL00195,AP005
FL00196,AP004
FL00197,AP019
FL00198,AP031
FL00199,AP005
FL00200,AP030
FL00201,AP035
FL00202,AP007
FL00203,AP030
FL00204,AP002
FL00205,AP032
FL00206,AP014
FL00207,AP012
FL00208,AP009
FL00209,AP013
FL00210,AP007
FL00211,AP037
FL00212,AP039
FL00213,AP003
FL00214,AP006
FL00215,AP016
FL00216,AP023
FL00217,AP006
FL00218,AP011
FL00219,AP001
FL00220,AP007
FL00221,AP010
FL00222,AP017
FL00223,AP006
FL00224,AP009
FL00225,AP037
FL00226,AP035
FL00227,AP022
FL00228,AP001
FL00229,AP010
FL00230,AP013
FL00231,AP037
FL00232,AP006
FL00233,AP005
FL00234,AP039
FL00235,AP035
FL00236,AP034
FL00237,AP009
FL00238,AP005
FL00239,AP032
FL00240,AP009
FL00241,AP010
FL00242,AP005
FL00243,AP004
FL00244,AP009
FL00245,AP032
FL00246,AP038
FL00247,AP002
FL00248,AP007
FL00249,AP009
FL00250,AP028
FL00251,AP009
FL00252,AP030
FL00253,AP006
FL00254,AP009
FL00255,AP002
FL00256,AP008
FL00257,AP039
FL00258,AP006
FL00259,AP008
FL00260,AP040
FL00261,AP012
FL00262,AP024
FL00263,AP026
FL00264,AP005
FL00265,AP017
FL00266,AP008
FL00267,AP039
FL00268,AP016
FL00269,AP037
FL00270,AP018
FL00271,AP004
FL00272,AP008
FL00273,AP023
FL00274,AP010
FL00275,AP003
FL00276,AP039
FL00277,AP018
FL00278,AP009
FL00279,AP001
FL00280,AP003
FL00281,AP009
FL00282,AP011
FL00283,AP031
FL00284,AP002
FL00285,AP003
FL00286,AP005
FL00287,AP001
FL00288,AP025
FL00289,AP010
FL00290,AP008
FL00291,AP026
FL00292,AP002
FL00293,AP033
FL00294,AP027
FL00295,AP010
