:START_ID(Flight),:END_ID(Delay)
FL00008,DLY00001
FL00013,DLY00002
FL00015,DLY00003
FL00017,DLY00004
FL00018,DLY00005
FL00021,DLY00006
FL00022,DLY00007
FL00028,DLY00008
FL00033,DLY00009
FL00046,DLY00010
FL00047,DLY00011
FL00050,DLY00012
FL00051,DLY00013
FL00052,DLY00014
FL00056,DLY00015
FL00059,DLY00016
FL00068,DLY00017
FL00071,DLY00018
FL00075,DLY00019
FL00077,DLY00020
FL00080,DLY00021
FL00081,DLY00022
FL00084,DLY00023
FL00085,DLY00024
FL00091,DLY00025
FL00093,DLY00026
FL00098,DLY00027
FL00102,DLY00028
FL00105,DLY00029
FL00107,DLY00030
FL00111,DLY00031
FL00112,DLY00032
FL00114,DLY00033
FL00117,DLY00034
FL00119,DLY00035
FL00120,DLY00036
FL00122,DLY00037
FL00124,DLY00038
FL00127,DLY00039
FL00128,DLY00040
FL00130,DLY00041
FL00133,DLY00042
FL00136,DLY00043
FL00138,DLY00044
FL00140,DLY00045
FL00145,DLY00046
FL00148,DLY00047
FL00153,DLY00048
FL00158,DLY00049
FL00162,DLY00050
FL00170,DLY00051
FL00171,DLY00052
FL00172,DLY00053
FL00174,DLY00054
FL00179,DLY00055
FL00180,DLY00056
FL00184,DLY00057
FL00189,DLY00058
FL00191,DLY00059
FL00193,DLY00060
FL00194,DLY00061
FL00199,DLY00062
FL00200,DLY00063
FL00209,DLY00064
FL00211,DLY00065
FL00212,DLY00066
FL00214,DLY00067
FL00217,DLY00068
FL00218,DLY00069
FL00219,DLY00070
FL00224,DLY00071
FL00228,DLY00072
FL00236,DLY00073
FL00237,DLY00074
FL00238,DLY00075
FL00239,DLY00076
FL00245,DLY00077
FL00249,DLY00078
FL00250,DLY00079
FL00252,DLY00080
FL00257,DLY00081
FL00267,DLY00082
FL00273,DLY00083
FL00276,DLY00084
FL00277,DLY00085
FL00283,DLY00086
FL00285,DLY00087
FL00293,DLY00088
FL00297,DLY00089
FL00299,DLY00090
FL00313,DLY00091
FL00315,DLY00092
FL00322,DLY00093
FL00330,DLY00094
FL00333,DLY00095
FL00335,DLY00096
FL00339,DLY00097
FL00346,DLY00098
FL00347,DLY00099
FL00348,DLY00100
FL00357,DLY00101
FL00358,DLY00102
FL00359,DLY00103
FL00361,DLY00104
FL00365,DLY00105
FL00369,DLY00106
FL00371,DLY00107
FL00372,DLY00108
FL00373,DLY00109
FL00374,DLY00110
FL00375,DLY00111
FL00382,DLY00112
FL00383,DLY00113
FL00384,DLY00114
FL00391,DLY00115
FL00398,DLY00116
FL00400,DLY00117
FL00404,DLY00118
FL00411,DLY00119
FL00419,DLY00120
FL00424,DLY00121
FL00425,DLY00122
FL00427,DLY00123
FL00428,DLY00124
FL00429,DLY00125
FL00430,DLY00126
FL00432,DLY00127
FL00433,DLY00128
FL00434,DLY00129
FL00435,DLY00130
FL00436,DLY00131
FL00437,DLY00132
FL00441,DLY00133
FL00446,DLY00134
FL00448,DLY00135
FL00450,DLY00136
FL00451,DLY00137
FL00452,DLY00138
FL00455,DLY00139
FL00460,DLY00140
FL00462,DLY00141
FL00464,DLY00142
FL00465,DLY00143
FL00466,DLY00144
FL00467,DLY00145
FL00468,DLY00146
FL00470,DLY00147
FL00472,DLY00148
FL00473,DLY00149
FL00475,DLY00150
FL00476,DLY00151
FL00477,DLY00152
FL00479,DLY00153
