:START_ID(Flight),:END_ID(Airport)
FL00001,AP010
FL00002,AP029
FL00003,AP011
FL00004,AP039
FL00005,AP029
FL00006,AP003
FL00007,AP002
FL00008,AP005
FL00009,AP037
FL00010,AP010
FL00011,AP007
FL00012,AP005
FL00013,AP009
FL00014,AP003
FL00015,AP010
FL00016,AP019
FL00017,AP003
FL00018,AP007
FL00019,AP005
FL00020,AP002
FL00021,AP003
FL00022,AP004
FL00023,AP038
FL00024,AP031
FL00025,AP004
FL00026,AP001
FL00027,AP030
FL00028,AP004
FL00029,AP006
FL00030,AP002
FL00031,AP005
FL00032,AP004
FL00033,AP034
FL00034,AP035
FL00035,AP009
FL00036,AP033
FL00037,AP009
FL00038,AP019
FL00039,AP006
FL00040,AP005
FL00041,AP008
FL00042,AP006
FL00043,AP013
FL00044,AP015
FL00045,AP003
FL00046,AP033
FL00047,AP010
FL00048,AP027
FL00049,AP007
FL00050,AP024
FL00051,AP005
FL00052,AP003
FL00053,AP009
FL00054,AP003
FL00055,AP004
FL00056,AP021
FL00057,AP015
FL00058,AP040
FL00059,AP028
FL00060,AP034
FL00061,AP015
FL00062,AP008
FL00063,AP025
FL00064,AP001
FL00065,AP002
FL00066,AP004
FL00067,AP033
FL00068,AP002
FL00069,AP008
FL00070,AP022
FL00071,AP010
FL00072,AP003
FL00073,AP008
FL00074,AP010
FL00075,AP006
FL00076,AP001
FL00077,AP021
FL00078,AP007
FL00079,AP002
FL00080,AP009
FL00081,AP004
FL00082,AP031
FL00083,AP022
FL00084,AP007
FL00085,AP001
FL00086,AP007
FL00087,AP040
FL00088,AP007
FL00089,AP012
FL00090,AP003
FL00091,AP011
FL00092,AP032
FL00093,AP016
FL00094,AP032
FL00095,AP005
FL00096,AP009
FL00097,AP010
FL00098,AP002
FL00099,AP006
FL00100,AP005
FL00101,AP034
FL00102,AP002
FL00103,AP003
FL00104,AP025
FL00105,AP021
FL00106,AP009
FL00107,AP006
FL00108,AP007
FL00109,AP030
FL00110,AP018
FL00111,AP004
FL00112,AP009
FL00113,AP021
FL00114,AP034
FL00115,AP024
FL00116,AP003
FL00117,AP029
FL00118,AP020
FL00119,AP001
FL00120,AP020
FL00121,AP030
FL00122,AP006
FL00123,AP019
FL00124,AP007
FL00125,AP003
FL00126,AP035
FL00127,AP002
FL00128,AP010
FL00129,AP006
FL00130,AP019
FL00131,AP036
FL00132,AP013
FL00133,AP008
FL00134,AP002
FL00135,AP015
FL00136,AP014
FL00137,AP026
FL00138,AP009
FL00139,AP005
FL00140,AP006
FL00141,AP033
FL00142,AP037
FL00143,AP028
FL00144,AP001
FL00145,AP009
FL00146,AP032
FL00147,AP003
FL00148,AP009
FL00149,AP036
FL00150,AP003
FL00151,AP009
FL00152,AP008
FL00153,AP002
FL00154,AP005
FL00155,AP010
FL00156,AP025
FL00157,AP014
FL00158,AP009
FL00159,AP020
FL00160,AP040
FL00161,AP020
FL00162,AP008
FL00163,AP025
FL00164,AP032
FL00165,AP006
FL00166,AP007
FL00167,AP038
FL00168,AP009
FL00169,AP006
FL00170,AP019
FL00171,AP014
FL00172,AP026
FL00173,AP012
FL00174,AP002
FL00175,AP016
FL00176,AP005
FL00177,AP006
FL00178,AP005
FL00179,AP008
FL00180,AP004
FL00181,AP018
FL00182,AP037
FL00183,AP009
FL00184,AP007
FL00185,AP006
FL00186,AP009
FL00187,AP004
FL00188,AP040
FL00189,AP038
FL00190,AP009
FL00191,AP025
FL00192,AP026
FL00193,AP007
FL00194,AP023
FL00195,AP016
FL00196,AP005
FL00197,AP004
FL00198,AP019
FL00199,AP031
FL00200,AP005
FL00201,AP030
FL00202,AP035
FL00203,AP007
FL00204,AP030
FL00205,AP002
FL00206,AP032
FL00207,AP014
FL00208,AP012
FL00209,AP009
FL00210,AP013
FL00211,AP007
FL00212,AP037
FL00213,AP039
FL00214,AP003
FL00215,AP006
FL00216,AP016
FL00217,AP023
FL00218,AP006
FL00219,AP011
FL00220,AP001
FL00221,AP007
FL00222,AP010
FL00223,AP017
FL00224,AP006
FL00225,AP009
FL00226,AP037
FL00227,AP035
FL00228,AP022
FL00229,AP001
FL00230,AP010
FL00231,AP013
FL00232,AP037
FL00233,AP006
FL00234,AP005
FL00235,AP039
FL00236,AP035
FL00237,AP034
FL00238,AP009
FL00239,AP005
FL00240,AP032
FL00241,AP009
FL00242,AP010
FL00243,AP005
FL00244,AP004
FL00245,AP009
FL00246,AP032
FL00247,AP038
FL00248,AP002
FL00249,AP007
FL00250,AP009
FL00251,AP028
FL00252,AP009
FL00253,AP030
FL00254,AP006
FL00255,AP009
FL00256,AP002
FL00257,AP008
FL00258,AP039
FL00259,AP006
FL00260,AP008
FL00261,AP040
FL00262,AP012
FL00263,AP024
FL00264,AP026
FL00265,AP005
FL00266,AP017
FL00267,AP008
FL00268,AP039
FL00269,AP016
FL00270,AP037
FL00271,AP018
FL00272,AP004
FL00273,AP008
FL00274,AP023
FL00275,AP010
FL00276,AP003
FL00277,AP039
FL00278,AP018
FL00279,AP009
FL00280,AP001
FL00281,AP003
FL00282,AP009
FL00283,AP011
FL00284,AP031
FL00285,AP002
FL00286,AP003
FL00287,AP005
FL00288,AP001
FL00289,AP025
FL00290,AP010
FL00291,AP008
FL00292,AP026
FL00293,AP002
FL00294,AP033
FL00295,AP027
FL00296,AP010
FL00297,AP009
FL00298,AP024
FL00299,AP005
FL00300,AP013
FL00301,AP028
FL00302,AP015
FL00303,AP007
FL00304,AP011
FL00305,AP003
FL00306,AP016
FL00307,AP026
FL00308,AP004
FL00309,AP006
FL00310,AP025
FL00311,AP002
FL00312,AP005
FL00313,AP016
FL00314,AP012
FL00315,AP039
FL00316,AP026
FL00317,AP018
FL00318,AP009
FL00319,AP033
FL00320,AP004
FL00321,AP008
FL00322,AP001
